Frequency,FreqOpti,RelCaptTag,SurveyType@Station,MonitoringStatus@Station,Origin,Sex,Locality,DATE,LAT,LON,Name_signal_type
219632,219632,00071B1196,Post-Release,Monitored,release,male,ENJ23,2012-10-23 07:00:00,33.18060,-4.63574,
219632,219632,00071B1196,Post-Release,Monitored,release,male,ENJ23,2012-10-23 07:00:00,33.18060,-4.63574,
219632,219632,00071B1196,Post-Release,Monitored,release,male,ENJ23,2012-10-23 07:00:00,33.18060,-4.63574,
219632,219632,00071B1196,Post-Release,Monitored,release,male,ENJ23,2012-10-23 07:00:00,33.18060,-4.63574,
218839,218839,0007138812,Tracking,Monitored,release,female,Tamlelt,2012-11-02 14:11:00,32.40315,-2.64242,weak
218839,218839,0007138812,Tracking,Monitored,release,female,Tamlelt,2012-11-02 14:11:00,32.40315,-2.64242,
218839,218839,0007138812,Tracking,Monitored,release,female,Tamlelt,2012-11-02 14:11:00,32.40315,-2.64242,
218839,218839,0007138812,Tracking,Monitored,release,female,Tamlelt,2012-11-02 14:11:00,32.40315,-2.64242,
218839,218839,0007138812,Tracking,Monitored,release,female,Tamlelt,2012-11-02 14:11:00,32.40315,-2.64242,
218839,218839,0007138812,Tracking,Monitored,release,female,Tamlelt,2012-11-02 14:11:00,32.40315,-2.64242,
219211,219211,0007026511,Post-Release,Monitored,release,male,Oued Charef,2012-03-22 08:50:00,33.69106,-2.20506,
219211,219211,0007026511,Post-Release,Monitored,release,male,Oued Charef,2012-03-22 08:50:00,33.69106,-2.20506,
219211,219211,0007026511,Post-Release,Monitored,release,male,Oued Charef,2012-03-22 08:50:00,33.69106,-2.20506,
219211,219211,0007026511,Post-Release,Monitored,release,male,Oued Charef,2012-03-22 08:50:00,33.69106,-2.20506,
217005,217005,W-00120,Breeding,Monitored,wild,male,Al Baten,2012-04-07 06:45:00,33.20860,-3.97083,
219434,219434,000713890C,Breeding,Monitored,release,female,Lac Irriki,2012-04-09 12:16:00,29.78556,-6.43595,
218816,218816,W-00096,Breeding,Lost,wild,male,Al Baten,2012-05-11 06:28:00,33.27439,-3.89254,normal
219712,219712,00071B9830,Breeding,Monitored,release,female,Karâa,2012-07-12 12:10:00,33.47641,-2.50984,
219712,219712,00071B9830,Breeding,Monitored,release,female,Karâa,2012-07-12 12:10:00,33.47641,-2.50984,
219712,219712,00071B9830,Breeding,Monitored,release,female,Karâa,2012-07-12 12:10:00,33.47641,-2.50984,
219712,219712,00071B9830,Breeding,Monitored,release,female,Karâa,2012-07-12 12:10:00,33.47641,-2.50984,
215061,215061,0007030AF9,Tracking,Monitored,release,male,Foum Zguid,2012-07-16 10:54:00,30.12822,-6.75821,normal
219701,219701,0007135C25,Tracking,Lost,release,female,Sidi Amer,2012-10-11 09:13:00,33.70889,-2.34849,normal
217748,217748,00071B16AE,Post-Release,Lost,release,female,Rekam,2012-11-27 10:29:00,33.37118,-3.24029,
214026,214026,00071AF701,Post-Release,Monitored,release,female,Zayda,2012-12-25 13:47:36,32.84129,-4.90186,normal
214026,214026,00071AF701,Post-Release,Monitored,release,female,Zayda,2012-12-25 13:47:36,32.84129,-4.90186,
213999,213999,00071B33EC,Post-Release,Monitored,release,female,Zayda,2012-12-25 13:47:36,32.84129,-4.90186,normal
213999,213999,00071B33EC,Post-Release,Monitored,release,female,Zayda,2012-12-25 13:47:36,32.84129,-4.90186,
215001,215001,00074C0941,Post-Release,Monitored,release,female,Enjil,2013-01-18 12:57:32,33.11618,-4.54462,normal
215001,215001,00074C0941,Post-Release,Monitored,release,female,Enjil,2013-01-18 12:57:32,33.11618,-4.54462,
217650,217650,00071AEAAB,Post-Release,Monitored,release,male,Ain Lhalwa,2013-01-25 09:58:41,33.83883,-2.43855,normal
217650,217650,00071AEAAB,Post-Release,Monitored,release,male,Ain Lhalwa,2013-01-25 09:58:41,33.83883,-2.43855,
